GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,OPTAX.id,OPTAX.display-label,PRODSVC2012.id,PRODSVC2012.display-label,PRODSVC2012.annotation.id,YEAR.id,ESTAB,TVALLN,RCPTOT,LINE_PCT,LINEALL_PCT,LINE_COV,KB_PCT
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Type of operation or tax status code,Meaning of Type of operation or tax status code,Products and services code,Meaning of Products and services code,Id,Year,Number of establishments,"Total sales of estabs reporting product line ($1,000)","Sales ($1,000)",Product line sales as % of total sales of estabs reporting line (%),Product line sales as % of total sales of all estabs (%),Response coverage of product lines inquiry (%),Percent of sales accounted for by industry (%)
0100000US,,United States,,42,Wholesale trade,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,4874,70519256,11647134,16.5,0.1,58.5,100.0
0100000US,,United States,,42,Wholesale trade,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,4762,55562522,8665779,15.6,0.2,52.3,100.0
0100000US,,United States,,42,Wholesale trade,,20,Manufacturers' sales branches and offices,12220,"Lawn and garden machinery, equipment, and parts",,2012,27,14373438,2684954,18.7,0.1,79.9,100.0
0100000US,,United States,,423,"Merchant wholesalers, durable goods",,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,4525,67719697,11194522,16.5,0.4,59.3,96.1
0100000US,,United States,,423,"Merchant wholesalers, durable goods",,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,4505,53438416,8515516,15.9,0.4,52.9,98.3
0100000US,,United States,,423,"Merchant wholesalers, durable goods",,20,Manufacturers' sales branches and offices,12220,"Lawn and garden machinery, equipment, and parts",,2012,20,14281281,2679006,18.8,0.4,80.1,99.8
0100000US,,United States,,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,400,2756967,98803,3.6,,,0.8
0100000US,,United States,,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,400,2756967,98803,3.6,,,1.1
0100000US,,United States,,42312,Motor vehicle supplies and new parts merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,392,2740600,97990,3.6,0.1,,0.8
0100000US,,United States,,42312,Motor vehicle supplies and new parts merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,392,2740600,97990,3.6,0.1,,1.1
0100000US,,United States,,423120,Motor vehicle supplies and new parts merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,392,2740600,97990,3.6,0.1,,0.8
0100000US,,United States,,423120,Motor vehicle supplies and new parts merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,392,2740600,97990,3.6,0.1,,1.1
0100000US,,United States,,4231201,Motor vehicle supplies and new parts merchant wholesalers- warehouse distributors,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,71,1543853,17221,1.1,,,0.1
0100000US,,United States,,4231201,Motor vehicle supplies and new parts merchant wholesalers- warehouse distributors,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,71,,,,,,
0100000US,,United States,,4231202,Motor vehicle supplies and new parts merchant wholesalers- jobbers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,321,1196747,80769,6.7,0.1,,0.7
0100000US,,United States,,4231202,Motor vehicle supplies and new parts merchant wholesalers- jobbers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,321,1196747,80769,6.7,0.1,,0.9
0100000US,,United States,,4232,Furniture and home furnishing merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,16,52533,8043,15.3,,,0.1
0100000US,,United States,,4232,Furniture and home furnishing merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,16,52533,8043,15.3,,,0.1
0100000US,,United States,,42321,Furniture merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,6,24983,6863,27.5,,,0.1
0100000US,,United States,,42321,Furniture merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,6,24983,6863,27.5,,,0.1
